Location,Search_Term,Search_Volume,Vet_Reported_Cases,Weather,Humidity_Index,Risk_Level
Ginigathhena,kennel cough,11,8,rainy,6,Medium
Mahiyanganaya,dog coughing,7,0,humid,10,Low
Galewela,itchy skin,12,4,dry,2,Medium
Elpitiya,eye infection,15,8,dry,2,Medium
Weeraketiya,dog coughing,22,6,dry,2,Medium
Ratnapura,kennel cough,26,4,dry,2,High
Weligama,ticks,11,4,hot,4,Medium
Anuradhapura,dog coughing,3,4,hot,4,Low
Jaffna,lethargy,26,8,rainy,6,High
Deniyaya,kennel cough,7,2,hot,4,Low
Monaragala,eye infection,10,3,hot,4,Medium
Wariyapola,itchy skin,11,7,humid,10,Medium
Tissamaharama,eye infection,11,2,dry,2,Low
Mannar,eye infection,10,0,dry,2,Low
Passara,dog vomiting,12,1,hot,4,Medium
Maskeliya,kennel cough,10,7,humid,10,Medium
Dankotuwa,fleas,14,5,humid,10,Medium
Hatton,eye infection,11,5,dry,2,Medium
Rathmalana,loss of appetite,12,8,rainy,6,Medium
Galgamuwa,fleas,1,8,rainy,6,Medium
Kilinochchi,loss of appetite,1,8,humid,10,Medium
Kosgama,dog coughing,2,11,rainy,6,Medium
Kosgama,loss of appetite,22,10,dry,2,High
Panadura,lethargy,22,7,hot,4,High
Moratuwa,kennel cough,22,10,rainy,6,High
Kegalle,fleas,12,1,humid,10,Medium
Monaragala,eye infection,8,1,humid,10,Medium
Ja-Ela,dog vomiting,19,11,rainy,6,High
Buttala,ticks,3,0,humid,10,Low
Deniyaya,dog coughing,8,0,rainy,6,Low
Agunukolapelessa,itchy skin,10,3,dry,2,Low
Embilipitiya,lethargy,3,2,humid,10,Low
Mawanella,fleas,3,4,hot,4,Low
Homagama,kennel cough,1,4,rainy,6,Low
Batticaloa,dog coughing,15,3,humid,10,Medium
Deniyaya,ticks,16,9,humid,10,High
Embilipitiya,fleas,16,13,hot,4,High
Gonapola,fleas,3,6,hot,4,Low
Weeraketiya,dog coughing,7,1,dry,2,Low
Kuliyapitiya,loss of appetite,8,6,dry,2,Medium
Gonapola,itchy skin,11,10,rainy,6,Medium
Gampaha,dog fever,10,0,rainy,6,Low
Matale,dog coughing,7,3,dry,2,Low
Jaffna,dog fever,4,12,rainy,6,Medium
Dambulla,dog fever,18,3,hot,4,Medium
Giriulla,dog vomiting,10,3,rainy,6,Medium
Matale,dog vomiting,8,3,dry,2,Low
Dankotuwa,loss of appetite,3,8,dry,2,Low
Kalawana,lethargy,14,12,humid,10,High
Mahiyanganaya,dog vomiting,20,0,hot,4,Medium
Dambulla,dog fever,1,0,humid,10,Low
Kotte,itchy skin,27,2,hot,4,High
Dehiwala,dog vomiting,17,5,hot,4,Medium
Haputale,lethargy,19,9,rainy,6,High
Kalutara,dog fever,5,7,dry,2,Medium
Colombo,kennel cough,17,7,rainy,6,Medium
Ja-Ela,ticks,7,1,rainy,6,Low
Seeduwa,kennel cough,4,0,humid,10,Low
Monaragala,loss of appetite,1,7,hot,4,Low
Hambantota,dog coughing,16,0,rainy,6,Medium
Buttala,fleas,4,4,rainy,6,Low
Kegalle,fleas,2,9,rainy,6,Medium
Ampara,dog coughing,18,9,hot,4,High
Kothmale,dog coughing,1,4,rainy,6,Low
Ragama,dog vomiting,1,11,dry,2,Medium
Polonnaruwa,dog fever,19,0,hot,4,Medium
Middeniya,dog coughing,13,2,humid,10,Medium
Kothmale,dog vomiting,18,5,rainy,6,Medium
Trincomalee,fleas,4,7,dry,2,Low
Wariyapola,dog fever,13,10,rainy,6,Medium
Avissawella,dog fever,8,1,hot,4,Low
Giriulla,loss of appetite,9,0,dry,2,Low
Puttalam,fleas,19,10,humid,10,High
Kurunegala,fleas,1,6,hot,4,Low
Negombo,fleas,0,11,rainy,6,Medium
Ginigathhena,ticks,1,8,dry,2,Low
Matara,eye infection,12,11,humid,10,High
Dankotuwa,loss of appetite,6,5,dry,2,Low
Kandana,lethargy,17,4,hot,4,Medium
Seeduwa,dog fever,12,6,rainy,6,Medium
Galle,kennel cough,8,0,hot,4,Low
Passara,loss of appetite,4,8,hot,4,Medium
Mannar,dog fever,26,1,humid,10,High
Ragama,kennel cough,5,10,rainy,6,Medium
Wattala,loss of appetite,5,9,dry,2,Medium
Narammala,fleas,10,2,humid,10,Medium
Mirissa,loss of appetite,9,5,hot,4,Medium
Piliyandala,kennel cough,4,8,rainy,6,Medium
Batticaloa,dog fever,15,3,hot,4,Medium
Kosgama,dog fever,22,1,dry,2,Medium
Wellawaya,fleas,9,3,rainy,6,Medium
Mahiyanganaya,dog coughing,12,8,rainy,6,Medium
Haputale,fleas,12,2,hot,4,Medium
Bandaragama,lethargy,6,7,dry,2,Medium
Kotte,kennel cough,14,0,humid,10,Medium
Maskeliya,kennel cough,1,6,rainy,6,Low
Boralesgamuwa,fleas,24,12,hot,4,High
Ampara,itchy skin,11,3,rainy,6,Medium
Mawanella,ticks,17,8,hot,4,Medium
Vavuniya,loss of appetite,23,5,rainy,6,High
Galewela,eye infection,16,5,hot,4,Medium
Moratuwa,dog vomiting,21,5,hot,4,Medium
Negombo,dog coughing,13,4,dry,2,Medium
Gonapola,fleas,16,1,dry,2,Medium
Ganemulla,eye infection,4,1,hot,4,Low
Maharagama,dog fever,0,9,dry,2,Low
Warakapola,lethargy,9,10,dry,2,Medium
Mapalana,eye infection,1,0,hot,4,Low
Bandarawela,itchy skin,14,0,humid,10,Medium
Wattala,eye infection,15,2,rainy,6,Medium
Hambantota,dog vomiting,11,10,humid,10,High
Kilinochchi,dog coughing,16,1,dry,2,Medium
Balangoda,dog vomiting,13,5,rainy,6,Medium
Ambalangoda,ticks,6,5,hot,4,Medium
Kothmale,dog vomiting,3,2,dry,2,Low
Hatton,ticks,21,7,humid,10,High
Haputale,dog fever,3,0,dry,2,Low
Negombo,itchy skin,6,8,rainy,6,Medium
Monaragala,lethargy,22,3,humid,10,High
Hanwella,dog fever,11,4,humid,10,Medium
Matara,lethargy,6,5,hot,4,Medium
Wattala,ticks,9,10,rainy,6,Medium
Dankotuwa,lethargy,16,13,humid,10,High
Nuwara Eliya,loss of appetite,10,10,dry,2,Medium
Homagama,lethargy,14,5,hot,4,Medium
Balangoda,dog fever,18,10,hot,4,High
Batticaloa,itchy skin,2,10,dry,2,Medium
Wariyapola,itchy skin,0,7,rainy,6,Low
Maharagama,lethargy,7,13,rainy,6,Medium
Kelaniya,dog fever,15,9,rainy,6,High
Kalawana,ticks,18,8,rainy,6,High
Kalawana,dog vomiting,16,2,rainy,6,Medium
Agunukolapelessa,lethargy,4,6,hot,4,Low
Kilinochchi,kennel cough,9,14,dry,2,Medium
Buttala,dog fever,0,3,hot,4,Low
Nuwara Eliya,lethargy,13,7,dry,2,Medium
Moragahamula,itchy skin,11,3,humid,10,Medium
Deniyaya,fleas,8,0,humid,10,Low
Homagama,dog coughing,16,0,humid,10,Medium
Bandarawela,eye infection,11,5,hot,4,Medium
Ampara,loss of appetite,10,1,humid,10,Medium
Beruwala,ticks,15,0,hot,4,Medium
Ganemulla,ticks,7,0,dry,2,Low
Dehiwala,dog fever,17,0,hot,4,Medium
Mullaitivu,lethargy,5,1,rainy,6,Low
Katunayake,dog vomiting,9,3,dry,2,Low
Kurunegala,dog fever,3,1,hot,4,Low
Agunukolapelessa,kennel cough,1,8,rainy,6,Medium
Wellawaya,ticks,0,7,humid,10,Medium
Galgamuwa,fleas,7,10,dry,2,Medium
Middeniya,dog vomiting,0,5,dry,2,Low
Badulla,dog vomiting,18,4,dry,2,Medium
Ampara,fleas,1,12,dry,2,Medium
Kandy,itchy skin,1,1,hot,4,Low
Galgamuwa,loss of appetite,13,5,dry,2,Medium
Seeduwa,itchy skin,12,9,humid,10,High
Vavuniya,ticks,24,1,humid,10,High
Matale,dog vomiting,14,5,humid,10,Medium
Kahawatte,loss of appetite,21,4,dry,2,Medium
Gonapola,loss of appetite,5,8,hot,4,Medium
Matale,fleas,17,0,dry,2,Medium
Kahawatte,dog coughing,5,6,humid,10,Medium
Kilinochchi,itchy skin,3,2,hot,4,Low
Badulla,kennel cough,21,3,rainy,6,Medium
Seeduwa,dog fever,14,5,hot,4,Medium
Boralesgamuwa,ticks,14,8,dry,2,Medium
Nuwara Eliya,itchy skin,19,10,rainy,6,High
Mahiyanganaya,dog fever,16,0,dry,2,Medium
Bandaragama,ticks,17,8,rainy,6,High
Kalutara,kennel cough,5,10,rainy,6,Medium
Matara,lethargy,4,0,rainy,6,Low
Minuwangoda,fleas,16,10,humid,10,High
Panadura,fleas,8,7,humid,10,Medium
Tissamaharama,lethargy,10,10,rainy,6,Medium
Dambulla,loss of appetite,8,6,humid,10,Medium
Marawila,kennel cough,2,1,dry,2,Low
Wariyapola,dog fever,11,12,humid,10,High
Kandy,lethargy,4,12,humid,10,Medium
Kalawana,fleas,9,4,dry,2,Medium
Chilaw,lethargy,4,8,dry,2,Medium
Weligama,dog vomiting,23,0,dry,2,Medium
Moragahamula,fleas,8,9,dry,2,Medium
Ambalangoda,kennel cough,3,3,hot,4,Low
Embilipitiya,dog vomiting,4,3,dry,2,Low
Kurunegala,loss of appetite,9,6,hot,4,Medium
Narammala,itchy skin,19,8,dry,2,Medium
Monaragala,dog coughing,1,4,dry,2,Low
Ambalangoda,lethargy,22,6,rainy,6,High
Mannar,dog fever,8,11,hot,4,Medium
Anuradhapura,ticks,5,9,rainy,6,Medium
Pelmadulla,dog fever,2,1,rainy,6,Low
Jaffna,eye infection,8,2,hot,4,Low
Gampaha,dog fever,19,0,hot,4,Medium
Balangoda,ticks,8,13,rainy,6,Medium
Hanwella,dog vomiting,13,4,hot,4,Medium
Marawila,loss of appetite,12,4,rainy,6,Medium
Mannar,dog vomiting,12,3,humid,10,Medium
Matugama,itchy skin,5,5,dry,2,Low
Gampaha,itchy skin,20,0,dry,2,Medium
Matugama,dog fever,11,6,hot,4,Medium
Minuwangoda,kennel cough,4,9,hot,4,Medium
Passara,itchy skin,18,11,rainy,6,High
Kuliyapitiya,ticks,6,0,rainy,6,Low
Polonnaruwa,kennel cough,28,3,hot,4,High
Middeniya,itchy skin,13,6,humid,10,Medium
Embilipitiya,dog vomiting,11,4,rainy,6,Medium
Mirissa,eye infection,22,3,dry,2,Medium
Moragahamula,itchy skin,12,8,rainy,6,Medium
Kelaniya,fleas,7,4,hot,4,Low
Warakapola,eye infection,20,13,dry,2,High
Mawanella,loss of appetite,3,11,rainy,6,Medium
Aluthgama,dog vomiting,10,4,humid,10,Medium
Galgamuwa,dog vomiting,9,9,rainy,6,Medium
Dambulla,dog vomiting,12,1,dry,2,Low
Bandaragama,eye infection,3,4,hot,4,Low
Embilipitiya,itchy skin,19,8,rainy,6,High
Giriulla,dog vomiting,8,0,humid,10,Low
Kotte,lethargy,12,4,dry,2,Medium
Anuradhapura,itchy skin,6,5,hot,4,Medium
Boralesgamuwa,dog fever,3,4,rainy,6,Low
Kegalle,itchy skin,24,5,hot,4,High
Kahawatte,dog fever,10,8,humid,10,Medium
Bandaragama,itchy skin,12,4,hot,4,Medium
Kegalle,ticks,1,0,humid,10,Low
Matale,ticks,15,4,hot,4,Medium
Wariyapola,dog fever,15,0,humid,10,Medium
Gampaha,dog fever,13,0,hot,4,Medium
Galle,itchy skin,2,4,rainy,6,Low
Mawanella,kennel cough,12,8,hot,4,Medium
Rathmalana,loss of appetite,4,12,rainy,6,Medium
Ampara,loss of appetite,17,15,hot,4,High
Galle,kennel cough,11,0,rainy,6,Low
Wariyapola,fleas,17,11,dry,2,High
Weligama,dog fever,5,3,rainy,6,Low
Rathmalana,dog fever,8,7,hot,4,Medium
Elpitiya,dog vomiting,6,5,dry,2,Low
Mapalana,ticks,11,7,dry,2,Medium
Hambantota,dog coughing,8,2,hot,4,Low
Kosgama,kennel cough,11,2,humid,10,Medium
Wattala,ticks,18,4,rainy,6,Medium
Batticaloa,ticks,4,5,rainy,6,Low
Seeduwa,dog coughing,10,0,hot,4,Low
Dankotuwa,fleas,4,6,humid,10,Medium
Puttalam,eye infection,25,10,rainy,6,High
Kosgama,lethargy,0,13,dry,2,Medium
Hikkaduwa,itchy skin,13,3,dry,2,Medium
Marawila,loss of appetite,20,7,hot,4,High
Beruwala,itchy skin,2,0,rainy,6,Low
Elpitiya,dog coughing,3,5,hot,4,Low
Ratnapura,fleas,22,5,dry,2,Medium
Elpitiya,dog vomiting,10,1,dry,2,Low
Puttalam,dog coughing,11,3,dry,2,Medium
Passara,dog coughing,15,2,dry,2,Medium
Negombo,fleas,22,7,hot,4,High
Batticaloa,kennel cough,10,8,humid,10,Medium
Ragama,ticks,6,7,humid,10,Medium
Dambulla,eye infection,24,6,humid,10,High
Kegalle,fleas,4,2,humid,10,Low
Moratuwa,eye infection,9,5,hot,4,Medium
Dehiwala,eye infection,12,6,hot,4,Medium
Kadawatha,itchy skin,0,1,rainy,6,Low
Negombo,ticks,22,5,rainy,6,High
Marawila,kennel cough,14,11,humid,10,High
Badulla,kennel cough,0,12,humid,10,Medium
Middeniya,fleas,14,9,humid,10,High
Embilipitiya,kennel cough,12,6,rainy,6,Medium
Hanwella,lethargy,23,10,dry,2,High
Passara,dog coughing,8,7,humid,10,Medium
Dehiwala,ticks,14,3,humid,10,Medium
Kothmale,kennel cough,27,3,humid,10,High
Mawanella,ticks,8,8,rainy,6,Medium
Chilaw,ticks,13,0,rainy,6,Medium
Passara,kennel cough,8,0,rainy,6,Low
Ganemulla,kennel cough,8,4,hot,4,Medium
Gampaha,fleas,2,2,hot,4,Low
Moragahamula,itchy skin,9,3,dry,2,Low
Katunayake,fleas,13,0,hot,4,Medium
Aluthgama,dog vomiting,4,3,humid,10,Medium
Trincomalee,dog vomiting,1,14,hot,4,Medium
Ratnapura,loss of appetite,5,5,rainy,6,Medium
Ginigathhena,itchy skin,9,2,humid,10,Medium
Rathmalana,eye infection,12,6,humid,10,Medium
Mannar,loss of appetite,24,1,humid,10,High
Katunayake,eye infection,4,4,dry,2,Low
Agunukolapelessa,dog fever,6,0,hot,4,Low
Weligama,fleas,2,0,humid,10,Low
Chilaw,loss of appetite,9,6,humid,10,Medium
Katunayake,itchy skin,2,10,rainy,6,Medium
Negombo,fleas,6,4,humid,10,Medium
Kandana,fleas,9,0,humid,10,Medium
Mullaitivu,kennel cough,4,6,dry,2,Low
Embilipitiya,lethargy,5,5,dry,2,Low
Dankotuwa,lethargy,4,12,humid,10,Medium
Horana,dog fever,10,0,rainy,6,Low
Deniyaya,eye infection,0,5,hot,4,Low
Ganemulla,eye infection,4,0,dry,2,Low
Weligama,loss of appetite,5,3,hot,4,Low
Matugama,dog vomiting,16,13,dry,2,High
Hikkaduwa,dog coughing,16,9,hot,4,Medium
Passara,eye infection,5,8,rainy,6,Medium
Gampaha,fleas,3,13,humid,10,Medium
Trincomalee,lethargy,5,0,rainy,6,Low
Rathmalana,dog coughing,17,5,hot,4,Medium
Kegalle,kennel cough,14,1,humid,10,Medium
Warakapola,fleas,16,8,dry,2,Medium
Kahawatte,fleas,10,2,rainy,6,Medium
Kalutara,itchy skin,13,11,rainy,6,High
Kalawana,dog coughing,12,2,rainy,6,Medium
Middeniya,ticks,15,3,dry,2,Medium
Maharagama,eye infection,17,4,hot,4,Medium
Matugama,dog coughing,12,11,humid,10,High
Hikkaduwa,loss of appetite,0,1,hot,4,Low
Avissawella,dog vomiting,3,1,dry,2,Low
Tissamaharama,eye infection,12,10,dry,2,Medium
Beruwala,lethargy,28,17,dry,2,High
Kotte,kennel cough,27,8,humid,10,High
Negombo,dog vomiting,12,7,humid,10,Medium
Vavuniya,loss of appetite,12,3,rainy,6,Medium
Giriulla,dog vomiting,2,0,dry,2,Low
Kegalle,dog coughing,2,2,hot,4,Low
Beruwala,fleas,13,3,hot,4,Medium
Matale,ticks,4,4,dry,2,Low
Chilaw,itchy skin,2,1,dry,2,Low
Hanwella,fleas,15,4,hot,4,Medium
Hatton,dog fever,18,5,dry,2,Medium
Puttalam,loss of appetite,4,6,humid,10,Medium
Mullaitivu,eye infection,10,6,hot,4,Medium
Buttala,kennel cough,18,5,rainy,6,Medium
Monaragala,ticks,8,4,humid,10,Medium
Kataragama,dog vomiting,17,2,rainy,6,Medium
Avissawella,dog coughing,23,5,humid,10,High
Wattala,fleas,10,6,hot,4,Medium
Katunayake,dog coughing,3,2,rainy,6,Low
Weligama,dog coughing,16,0,dry,2,Medium
Matara,dog fever,11,8,dry,2,Medium
Chilaw,dog coughing,5,2,dry,2,Low
Kurunegala,eye infection,2,3,humid,10,Low
Mirissa,dog fever,12,2,dry,2,Medium
Kurunegala,dog fever,1,2,hot,4,Low
Kotte,itchy skin,14,1,humid,10,Medium
Kandana,dog fever,11,18,hot,4,High
Narammala,fleas,23,2,hot,4,Medium
Kahawatte,fleas,6,9,hot,4,Medium
Horana,dog vomiting,5,5,rainy,6,Medium
Kalutara,dog fever,20,5,rainy,6,Medium
Matale,dog vomiting,3,2,hot,4,Low
Panadura,dog coughing,0,0,hot,4,Low
Mullaitivu,kennel cough,15,10,dry,2,Medium
Tissamaharama,lethargy,6,1,hot,4,Low
Dambulla,lethargy,10,4,hot,4,Medium
Galle,loss of appetite,1,1,humid,10,Low
Chilaw,eye infection,9,6,hot,4,Medium
Ja-Ela,dog coughing,8,4,humid,10,Medium
Galle,kennel cough,8,3,dry,2,Low
Gampaha,itchy skin,3,11,rainy,6,Medium
Kelaniya,loss of appetite,0,10,dry,2,Low
Avissawella,loss of appetite,10,13,humid,10,High
Avissawella,lethargy,4,4,rainy,6,Low
Hatton,ticks,19,3,hot,4,Medium
Kothmale,dog coughing,0,9,rainy,6,Medium
Matara,loss of appetite,2,0,dry,2,Low
Galewela,dog coughing,1,2,dry,2,Low
Warakapola,dog fever,8,4,rainy,6,Medium
Tissamaharama,ticks,10,2,rainy,6,Medium
Piliyandala,kennel cough,22,6,hot,4,High
Agunukolapelessa,loss of appetite,2,5,dry,2,Low
Galgamuwa,eye infection,16,3,hot,4,Medium
Maharagama,fleas,10,0,humid,10,Medium
Kandana,ticks,10,3,humid,10,Medium
Wariyapola,itchy skin,8,7,rainy,6,Medium
Matale,loss of appetite,13,5,humid,10,Medium
Giriulla,dog vomiting,18,3,rainy,6,Medium
Hikkaduwa,eye infection,2,9,rainy,6,Medium
Ampara,dog coughing,13,2,rainy,6,Medium
Narammala,eye infection,2,0,hot,4,Low
Buttala,lethargy,15,8,dry,2,Medium
Rathmalana,itchy skin,7,3,humid,10,Medium
Homagama,itchy skin,14,0,rainy,6,Medium
Piliyandala,dog fever,15,0,hot,4,Medium
Kalawana,dog coughing,18,5,dry,2,Medium
Dehiwala,loss of appetite,2,2,dry,2,Low
Anuradhapura,dog coughing,10,3,hot,4,Medium
Kotte,itchy skin,7,13,hot,4,Medium
Dehiwala,dog vomiting,10,12,dry,2,Medium
Kelaniya,itchy skin,1,7,dry,2,Low
Anuradhapura,lethargy,9,1,dry,2,Low
Negombo,ticks,6,7,humid,10,Medium
Kothmale,kennel cough,19,4,hot,4,Medium
Gonapola,kennel cough,13,3,rainy,6,Medium
Kataragama,loss of appetite,1,6,humid,10,Medium
Pelmadulla,dog vomiting,10,13,humid,10,High
Agunukolapelessa,ticks,7,10,hot,4,Medium
Kelaniya,dog fever,10,5,hot,4,Medium
Monaragala,loss of appetite,10,2,hot,4,Low
Ganemulla,dog coughing,1,4,hot,4,Low
Jaffna,loss of appetite,9,6,humid,10,Medium
Ambalangoda,dog fever,8,9,humid,10,Medium
Kotte,lethargy,16,4,hot,4,Medium
Weligama,fleas,3,8,rainy,6,Medium
Colombo,lethargy,5,4,hot,4,Low
Galewela,loss of appetite,22,11,dry,2,High
Galgamuwa,ticks,20,13,dry,2,High
Kadawatha,dog fever,5,9,dry,2,Medium
Haputale,dog coughing,23,4,humid,10,High
Kuliyapitiya,lethargy,15,4,humid,10,Medium
Kandy,lethargy,6,5,rainy,6,Medium
Panadura,itchy skin,15,2,dry,2,Medium
Dehiwala,ticks,8,7,humid,10,Medium
Moratuwa,loss of appetite,11,9,dry,2,Medium
Dankotuwa,fleas,9,0,rainy,6,Low
Galgamuwa,eye infection,20,0,hot,4,Medium
Kalawana,dog fever,23,6,hot,4,High
Batticaloa,dog vomiting,4,4,hot,4,Low
Wattala,loss of appetite,4,10,humid,10,Medium
Vavuniya,dog coughing,1,8,humid,10,Medium
Pelmadulla,loss of appetite,0,3,hot,4,Low
Kataragama,loss of appetite,7,9,hot,4,Medium
Wattala,lethargy,12,3,humid,10,Medium
Hanwella,lethargy,7,17,rainy,6,High
Piliyandala,kennel cough,10,7,humid,10,Medium
Kegalle,eye infection,8,1,hot,4,Low
Buttala,kennel cough,26,4,hot,4,High
Wattala,dog fever,6,7,rainy,6,Medium
Ratnapura,dog vomiting,18,3,rainy,6,Medium
Kataragama,dog vomiting,15,6,rainy,6,Medium
Middeniya,dog coughing,4,9,hot,4,Medium
Kandy,itchy skin,13,0,rainy,6,Medium
Ragama,dog vomiting,12,4,humid,10,Medium
Kegalle,dog fever,4,10,dry,2,Medium
Weligama,dog vomiting,4,12,rainy,6,Medium
Moragahamula,itchy skin,9,5,dry,2,Medium
Puttalam,lethargy,10,0,humid,10,Medium
Gampaha,kennel cough,3,18,dry,2,Medium
Matara,itchy skin,4,5,hot,4,Low
Agunukolapelessa,dog fever,4,12,rainy,6,Medium
Mawanella,loss of appetite,1,0,dry,2,Low
Kahawatte,itchy skin,21,10,humid,10,High
Embilipitiya,itchy skin,1,8,dry,2,Low
Kandy,dog coughing,15,1,humid,10,Medium
Weeraketiya,dog fever,5,9,hot,4,Medium
Embilipitiya,dog vomiting,21,5,humid,10,High
Kalawana,ticks,8,8,dry,2,Medium
Vavuniya,itchy skin,6,8,dry,2,Medium
Batticaloa,kennel cough,18,1,hot,4,Medium
Ginigathhena,dog coughing,7,2,humid,10,Medium
Ja-Ela,fleas,2,11,rainy,6,Medium
Moragahamula,lethargy,7,1,dry,2,Low
Katunayake,eye infection,3,8,rainy,6,Medium
Galle,eye infection,2,5,humid,10,Medium
Batticaloa,ticks,8,4,rainy,6,Medium
Batticaloa,lethargy,7,4,dry,2,Low
Seeduwa,ticks,3,11,dry,2,Medium
Aluthgama,itchy skin,16,12,dry,2,High
