Pet_ID,Species,Breed,Age_Years,Weight_kg,Gender,Activity_Level,Medical_Condition,Ideal_Weight_kg,Calorie_Requirement_kcal,Protein_%,Fat_%,Carbs_%,Daily_Meal_Portion_g,Meals_Per_Day,Portion_Per_Meal_g,Adaptivity_Index
471cfbb2-3d55-4989-b56a-a2dcfee716ca,Dog,Poodle,9.0,11.7,Male,Low,None,12.8,531.4,28.4,23.6,48.0,151.8,2,75.9,0.82
d94a5946-8318-4302-80f8-99cfe4189c9f,Dog,Bulldog,8.0,27.0,Female,High,Allergies,28.5,1326.6,28.2,12.0,59.8,379.0,4,94.8,0.86
c038d00c-e62f-4324-b97a-2b626a023eb3,Dog,British Shorthair,8.9,32.4,Male,Moderate,Allergies,29.7,1330.9,27.9,11.5,60.6,380.3,3,126.8,0.56
1396bf9d-6e69-4d31-9948-2b923b928fc6,Cat,Siamese Cat,6.5,5.3,Male,High,None,5.0,391.2,25.9,20.9,53.2,111.8,4,27.9,0.78
10842390-73a0-4e3e-96e8-d3a9a3af0c6d,Dog,Bulldog,4.1,23.8,Male,High,Allergies,23.3,1206.8,27.1,12.8,60.1,344.8,4,86.2,0.58
976a2e90-3e2b-4ce6-9585-42a59b0f03d6,Dog,Bulldog,6.9,22.0,Male,Low,Joint Issues,21.0,853.3,37.5,24.5,38.0,243.8,2,121.9,0.86
cc0ab1ad-9bde-4979-992a-9f8a4d9e1669,Dog,Poodle,2.9,20.4,Female,Moderate,Obesity,19.5,799.6,38.0,23.5,38.5,228.5,3,76.2,0.4
58144bfe-f4f4-4a09-9ded-b7f59f311dc4,Dog,Golden Retriever,14.8,35.6,Female,Moderate,Diabetes,35.9,1285.5,31.3,24.4,44.3,367.3,3,122.4,0.9
be61a1d4-64dd-463c-81a4-115a0503849b,Dog,Ragdoll,10.1,28.2,Female,Low,Obesity,25.8,873.7,29.5,24.5,46.0,249.6,2,124.8,0.65
43625f99-e577-439e-886c-bbaabd88dad7,Dog,Ragdoll,1.4,21.1,Female,Low,None,23.2,827.0,33.8,17.5,48.7,236.3,2,118.2,0.81
7ed09af2-7538-4ed0-b5e3-a8424a0d24ab,Dog,German Shepherd,1.3,18.2,Male,Low,None,16.4,740.2,33.9,20.1,46.0,211.5,2,105.8,0.44
18b33c89-e522-476e-877c-df77c9351de1,Dog,Bulldog,14.2,31.1,Male,High,Joint Issues,33.1,1475.0,25.6,11.2,63.2,421.4,4,105.3,0.69
e2d33c21-5bb6-47aa-82a6-5c267df8e3d1,Dog,British Shorthair,8.1,35.3,Female,Low,Diabetes,37.2,1094.8,28.6,15.9,55.5,312.8,2,156.4,0.7
85996578-6152-45e7-baef-10401808e386,Dog,Beagle,7.1,34.3,Male,Low,Allergies,31.4,1190.6,34.3,18.4,47.3,340.2,2,170.1,0.36
2fc3fc07-bdfd-4d89-a908-ada55526f2c2,Dog,Ragdoll,3.6,16.6,Female,Low,Diabetes,17.8,621.7,38.2,23.2,38.6,177.6,2,88.8,0.52
ccb99b6f-e6a5-4276-9ea0-0f90c1ad1341,Dog,German Shepherd,6.9,21.9,Female,High,Joint Issues,22.4,1133.8,25.1,22.3,52.6,323.9,4,81.0,0.48
0b2c0c78-bb55-47dc-ad76-113216f3c3b3,Dog,Bulldog,14.1,20.2,Male,Moderate,None,19.4,933.8,38.3,21.1,40.6,266.8,3,88.9,0.39
306a201c-124c-4da0-bc3d-4498cb5be696,Dog,Beagle,9.3,23.1,Female,Low,Diabetes,22.3,796.6,32.6,13.8,53.6,227.6,2,113.8,0.84
e2260475-6fa4-493f-98fc-474be0b8b461,Dog,Golden Retriever,1.8,33.1,Female,Moderate,None,35.7,1352.4,25.1,21.6,53.3,386.4,3,128.8,0.68
f770ce8b-8e90-4d19-a667-e7eb3e823278,Dog,Beagle,2.8,38.6,Female,High,Allergies,38.4,1734.4,33.4,11.7,54.9,495.5,4,123.9,0.87
e07f4347-a03b-4314-af02-a919f6ea7033,Dog,German Shepherd,8.4,28.6,Female,High,Joint Issues,30.1,1385.1,27.2,11.9,60.9,395.7,4,98.9,0.48
02214595-f07f-42d7-a137-1a3a2a75767c,Dog,Golden Retriever,13.5,18.5,Male,High,Obesity,18.7,849.2,35.0,15.3,49.7,242.6,4,60.6,0.64
cc46881a-f82a-454c-8b00-fc6aaa7af4d3,Cat,Siamese Cat,14.6,4.9,Male,Low,Obesity,4.9,235.2,39.6,22.2,38.2,67.2,2,33.6,0.83
f9870f42-46c4-43be-aeed-c594a0fb8c9f,Dog,Golden Retriever,3.1,40.6,Female,Moderate,Obesity,40.0,1339.8,29.0,21.8,49.2,382.8,3,127.6,0.36
661da0b0-f7d0-403b-b261-8d80026b948a,Dog,Golden Retriever,12.9,25.9,Male,Low,Allergies,24.9,964.4,30.2,22.3,47.5,275.5,2,137.8,0.82
5051037c-5845-4cb0-adb1-cca55533977a,Dog,Poodle,0.8,22.0,Male,Moderate,Diabetes,22.0,896.0,29.2,11.0,59.8,256.0,3,85.3,0.76
1d4fe384-4217-46db-b245-3959e03b2e67,Cat,Persian Cat,9.8,4.6,Female,High,Joint Issues,4.5,351.8,30.0,10.4,59.6,100.5,4,25.1,0.83
c5f1834c-855b-411d-96e8-ac1aa993d376,Dog,Beagle,3.1,28.6,Female,Low,None,30.1,1038.9,33.9,15.2,50.9,296.8,2,148.4,0.77
9643c01c-4a92-40f6-89da-3f3443db9526,Cat,Siamese Cat,9.3,3.4,Male,Moderate,Joint Issues,3.7,245.4,27.9,10.7,61.4,70.1,3,23.4,0.56
1c69d657-ffa9-48d8-8539-9a4bf7b147d2,Dog,Ragdoll,13.9,20.0,Male,Moderate,Allergies,21.2,926.8,26.0,20.0,54.0,264.8,3,88.3,0.5
2f3309bd-7acc-49a9-97ca-2aa05aac8d43,Cat,Persian Cat,10.1,6.8,Male,High,Diabetes,7.2,424.5,32.6,20.0,47.4,121.3,4,30.3,0.5
5f44a2e8-0702-4a29-a842-e3c3712d7576,Dog,Beagle,8.5,28.3,Male,Moderate,Allergies,26.5,1202.4,35.2,23.5,41.3,343.5,3,114.5,0.67
0a6f99f2-cba7-42f2-8cb2-13031270b5d1,Dog,Beagle,6.4,26.0,Male,Moderate,Diabetes,27.6,1015.5,28.2,21.8,50.0,290.1,3,96.7,0.66
2c949ea2-184d-406d-bb72-7764856e999f,Cat,Persian Cat,7.2,6.9,Female,High,Obesity,7.4,405.3,32.7,21.9,45.4,115.8,4,28.9,0.88
cc00898b-fd07-40b5-a498-633e367bb41d,Dog,German Shepherd,10.1,18.0,Female,High,Joint Issues,17.0,978.8,30.0,22.3,47.7,279.7,4,69.9,0.75
2b80a976-b9dd-4792-b501-7078ed61711e,Dog,Beagle,3.8,21.7,Male,Low,None,21.4,844.5,25.7,24.8,49.5,241.3,2,120.7,0.67
a8791f3f-1812-4ea8-8aa7-251f945ce2fc,Dog,Bulldog,7.1,28.0,Male,High,Allergies,25.2,1363.3,32.4,13.7,53.9,389.5,4,97.4,0.69
cbe8f4e2-8555-4884-8ae0-7f6d03243030,Dog,Golden Retriever,13.4,27.6,Male,Moderate,Obesity,27.7,1003.1,27.6,24.4,48.0,286.6,3,95.5,0.61
31e2dccf-9a57-4ccb-9483-103070ad3791,Dog,Golden Retriever,8.6,10.8,Male,Moderate,Obesity,10.0,496.3,37.0,20.0,43.0,141.8,3,47.3,0.89
a2a5f45f-11bc-4b76-8482-a17522935cc0,Dog,British Shorthair,5.1,20.8,Female,High,Joint Issues,20.1,1090.9,31.4,23.6,45.0,311.7,4,77.9,0.57
98ce7791-ec6e-41b5-a049-4f6ae3f78ede,Dog,German Shepherd,11.3,23.4,Female,Moderate,Diabetes,23.5,938.4,36.3,22.6,41.1,268.1,3,89.4,0.47
0c71c2af-6b0a-4457-81c7-8898ae348b38,Dog,Ragdoll,7.5,29.0,Male,Moderate,Allergies,30.2,1224.7,26.2,14.3,59.5,349.9,3,116.6,0.46
6831ca56-50b0-496e-b3d0-d40156bfd1d1,Cat,Persian Cat,13.4,5.5,Male,Low,Obesity,6.0,256.4,28.5,20.4,51.1,73.3,2,36.6,0.72
94a8f19a-9234-443f-bf80-c6e8e650f7f3,Dog,Bulldog,6.5,24.3,Female,High,Allergies,23.1,1225.8,31.2,13.1,55.7,350.2,4,87.5,0.55
6b145ffa-d139-41f8-8921-037f9b570e25,Dog,British Shorthair,14.2,5.8,Male,High,Allergies,5.6,418.6,32.2,24.1,43.7,119.6,4,29.9,0.48
40edbdf6-c8a1-412f-bb24-c0f73d2d48f5,Cat,Siamese Cat,12.9,4.9,Female,High,Joint Issues,4.4,368.9,37.0,23.5,39.5,105.4,4,26.4,0.59
6d88c607-5909-46c6-8100-bd8e76d19cc3,Dog,Beagle,6.8,25.6,Male,Moderate,Diabetes,23.3,1003.8,35.0,22.0,43.0,286.8,3,95.6,0.73
e511d5ae-6521-4cac-acce-3353aa0baecb,Dog,Maine Coon,13.8,49.6,Male,Moderate,Joint Issues,47.4,1831.6,33.5,10.4,56.1,523.3,3,174.4,0.69
d8f394f8-63a8-4dae-9f5a-b62e05492b39,Dog,German Shepherd,13.1,23.1,Male,Low,Diabetes,21.5,796.6,30.7,13.2,56.1,227.6,2,113.8,0.5
384bbf89-df41-4679-bd88-6fdb588d3783,Cat,Siamese Cat,4.5,5.6,Female,Moderate,None,5.6,356.8,32.1,21.2,46.7,101.9,3,34.0,0.33
560c5e35-f523-4f7f-826a-b65a59767845,Cat,Persian Cat,3.8,7.3,Male,High,None,6.9,497.4,36.3,24.2,39.5,142.1,4,35.5,0.42
8820cf72-e717-48de-95bf-7e59f282482d,Dog,Golden Retriever,9.5,32.5,Male,Low,Allergies,34.0,1143.4,35.0,18.5,46.5,326.7,2,163.3,0.43
5d8f2c2e-805f-418d-9a84-6fd6f2ca3b88,Dog,Beagle,11.6,39.0,Male,High,Joint Issues,40.0,1747.9,39.5,20.8,39.7,499.4,4,124.8,0.77
a22e7619-f06a-4a1f-bfb9-20925d00f914,Dog,German Shepherd,14.5,11.0,Male,High,None,11.1,676.5,38.9,18.6,42.5,193.3,4,48.3,0.84
764c3a88-ad8e-47a4-b24a-fe2f79c30921,Cat,Siamese Cat,6.3,3.0,Male,Low,Joint Issues,2.7,191.5,35.4,19.4,45.2,54.7,2,27.4,0.36
c68880ed-1a8d-45a1-bf7d-0a2dc9492633,Dog,Beagle,12.8,19.3,Male,High,None,19.7,1031.3,30.2,16.4,53.4,294.7,4,73.7,0.52
abeecb70-ab0a-45ad-b63b-3b5ad3b07d06,Dog,Ragdoll,9.9,9.5,Male,Moderate,Allergies,9.8,530.3,26.6,24.4,49.0,151.5,3,50.5,0.68
ab303f68-282a-41cd-b6fb-609c72ac9d3c,Dog,Maine Coon,10.8,25.7,Female,Low,Joint Issues,24.0,958.8,39.5,14.1,46.4,273.9,2,136.9,0.78
a58d5d03-b2ff-4adc-bdb3-e3d492c62bfe,Dog,Ragdoll,11.7,15.8,Female,Moderate,Joint Issues,17.2,776.6,29.0,22.8,48.2,221.9,3,74.0,0.8
a61a7ff2-6a9f-4905-8747-c649e54d67c4,Dog,Bulldog,4.5,40.5,Female,Low,Allergies,37.6,1348.6,33.5,20.0,46.5,385.3,2,192.7,0.5
99f472ed-1411-4419-8d95-2b6442428f99,Dog,Maine Coon,12.8,17.2,Male,Moderate,Obesity,18.7,703.5,30.3,13.9,55.8,201.0,3,67.0,0.47
fb6070c4-b7ae-4231-90c1-fb6be9af3ec6,Dog,British Shorthair,10.7,21.8,Female,High,None,23.4,1130.0,32.7,12.9,54.4,322.9,4,80.7,0.44
1f63004f-2a98-4aea-a88a-4cb6c450250b,Cat,Siamese Cat,7.6,6.6,Male,High,Allergies,7.0,461.2,34.7,17.4,47.9,131.8,4,33.0,0.78
1e561f87-b4a8-4878-94fa-9f6be126a151,Dog,Bulldog,4.8,12.7,Female,High,Obesity,12.8,640.5,29.6,18.7,51.7,183.0,4,45.8,0.58
7c800587-9187-4897-ade7-63939f8f3a77,Dog,Ragdoll,5.5,8.9,Female,Moderate,Allergies,8.2,505.0,29.1,13.8,57.1,144.3,3,48.1,0.37
5c22d1ba-520c-4b46-acae-ac69fae7fbe8,Dog,Poodle,5.1,26.8,Male,Low,Obesity,28.9,841.0,36.1,14.1,49.8,240.3,2,120.2,0.65
81ae07ff-88e4-46ae-bd19-7720976b4861,Dog,Ragdoll,9.2,27.6,Male,Low,Diabetes,26.7,910.3,28.4,12.7,58.9,260.1,2,130.1,0.31
a1d629fc-5551-49ca-843e-6568cc5ce454,Dog,Ragdoll,2.3,32.8,Male,Low,Joint Issues,31.8,1151.3,29.4,24.2,46.4,328.9,2,164.4,0.68
9ac3c138-c0af-4625-b1c8-0a93ef3fd0c4,Dog,Maine Coon,2.0,30.2,Male,High,Diabetes,32.5,1298.6,32.0,16.6,51.4,371.0,4,92.8,0.41
c156a7b4-6aaa-4e9f-9ffd-afc7f326f02b,Dog,Golden Retriever,4.2,28.0,Female,Low,None,29.6,1022.5,31.0,11.1,57.9,292.1,2,146.1,0.68
9dbc7352-5e8f-409e-bf3f-1812166ca766,Dog,Golden Retriever,2.7,18.2,Female,Low,Obesity,17.0,629.1,26.8,21.5,51.7,179.7,2,89.8,0.66
1bb552d7-66ad-40b5-8bb9-18133e72cb90,Dog,British Shorthair,3.8,27.3,Female,Moderate,Allergies,29.5,1170.4,29.5,18.8,51.7,334.4,3,111.5,0.56
6000dc61-6846-4129-95e9-b21fbdaf61c2,Dog,British Shorthair,9.5,27.9,Male,Low,Obesity,25.1,866.8,29.0,11.2,59.8,247.7,2,123.8,0.44
67a40cbd-e06c-443c-ae9c-8bb0c54a1848,Dog,Ragdoll,1.6,17.9,Male,Moderate,Allergies,16.7,852.8,35.3,17.0,47.7,243.7,3,81.2,0.32
9b2e4ae3-dd96-4a94-ba6a-f31d2f0645de,Dog,Beagle,10.8,43.7,Female,Low,Obesity,45.0,1213.6,38.9,21.8,39.3,346.7,2,173.3,0.68
7e540aa6-2252-4add-aabc-9ad3d92b4831,Dog,Poodle,6.7,29.7,Male,High,Obesity,28.1,1211.2,38.6,22.4,39.0,346.1,4,86.5,0.34
c580aebc-be61-4f01-b95b-9cdcc115bed0,Dog,German Shepherd,12.0,15.3,Female,Moderate,None,14.8,758.1,32.0,14.6,53.4,216.6,3,72.2,0.54
23973c14-33a9-473c-bee9-a33ba2836c3a,Dog,Beagle,7.8,32.9,Female,Moderate,None,34.5,1346.2,34.0,23.3,42.7,384.6,3,128.2,0.74
e6d30a34-8e57-47a8-b226-7b3859407877,Dog,British Shorthair,4.1,34.6,Male,Low,Joint Issues,35.7,1198.4,33.8,10.3,55.9,342.4,2,171.2,0.76
6ede7124-6324-49a4-88ec-908e41437ed3,Dog,Beagle,8.9,29.1,Male,Moderate,Joint Issues,29.5,1227.9,34.8,23.7,41.5,350.8,3,116.9,0.41
2ef060c2-a698-4adb-896f-d246d326a147,Dog,British Shorthair,6.8,22.5,Female,Low,Allergies,21.4,867.8,30.2,15.0,54.8,247.9,2,124.0,0.7
22bc814e-d0e3-4009-8c32-799982bafcfd,Dog,German Shepherd,5.3,17.5,Female,Moderate,Allergies,16.6,838.5,37.2,18.3,44.5,239.6,3,79.9,0.57
c92ed293-054c-403a-928a-a64967a692e3,Cat,Persian Cat,4.2,4.8,Male,Moderate,Joint Issues,5.2,317.8,37.4,10.0,52.6,90.8,3,30.3,0.82
455e58ac-ef51-47b6-93f1-b1c234611424,Dog,Maine Coon,6.5,28.4,Male,High,Diabetes,29.1,1240.1,34.3,17.5,48.2,354.3,4,88.6,0.57
961abbbf-479e-49b3-a1be-bd19962ae064,Dog,Golden Retriever,3.5,25.1,Male,Moderate,Allergies,25.5,1099.0,38.2,17.3,44.5,314.0,3,104.7,0.32
3063c10e-9ef9-43ab-92da-d66dd920b92f,Dog,British Shorthair,12.1,39.5,Male,Moderate,Joint Issues,39.4,1544.1,25.2,16.1,58.7,441.2,3,147.1,0.43
492c5a1e-c9cc-47df-b3ab-2aab0ba7ed66,Dog,Bulldog,7.2,31.3,Male,High,Obesity,29.9,1259.8,32.5,20.7,46.8,359.9,4,90.0,0.61
2383c751-235a-4766-90e9-f49f3287fdfa,Dog,Beagle,6.5,16.4,Female,Moderate,Obesity,14.8,678.9,31.9,12.2,55.9,194.0,3,64.7,0.41
bbdd9c57-2c32-4c12-93a7-a8a1ffdb0966,Dog,British Shorthair,7.9,14.3,Male,Low,Diabetes,15.6,555.9,36.6,22.8,40.6,158.8,2,79.4,0.5
84a5a3e5-f73e-40a7-84f7-666a6489be71,Dog,Ragdoll,4.4,29.8,Male,Moderate,Diabetes,32.5,1124.9,37.6,18.7,43.7,321.4,3,107.1,0.7
c8edf452-4a82-4334-952b-7828a238d634,Dog,German Shepherd,7.0,22.8,Female,Moderate,Diabetes,20.6,920.3,33.3,18.2,48.5,262.9,3,87.6,0.57
6ba19c79-5ec6-4c3f-8865-667693a61f99,Cat,Persian Cat,13.1,6.4,Male,High,Allergies,6.9,450.7,28.5,21.6,49.9,128.8,4,32.2,0.33
05cb68f1-fd1e-443b-8e1e-ddae4bdbf815,Dog,Maine Coon,10.7,29.7,Female,Moderate,Obesity,32.5,1059.8,32.4,10.6,57.0,302.8,3,100.9,0.6
69c7050e-b5f9-4fc0-bcd1-40a90463eea9,Dog,British Shorthair,5.3,24.3,Male,Moderate,None,26.0,1072.6,32.9,16.9,50.2,306.5,3,102.2,0.73
6b5f7d97-ea49-4201-aa02-1797447aab78,Cat,Siamese Cat,13.1,3.3,Male,Low,Allergies,3.5,205.7,36.7,14.0,49.3,58.8,2,29.4,0.67
95b317ce-19e3-40d9-8f75-980c9f992bf3,Cat,Siamese Cat,9.9,2.0,Female,High,Joint Issues,1.9,188.4,30.7,14.7,54.6,53.8,4,13.4,0.73
b284efda-0074-4afc-ad41-4719a09b0c74,Dog,Maine Coon,13.1,27.1,Male,High,None,29.5,1330.3,28.5,20.3,51.2,380.1,4,95.0,0.47
985dd92c-c38e-4c1f-994f-e77e76a216f6,Dog,Poodle,11.3,12.5,Female,Low,None,13.0,558.4,31.7,20.4,47.9,159.5,2,79.8,0.84
4ca348f0-d9a8-44d3-be65-78898a9b42c9,Dog,Golden Retriever,5.2,16.2,Male,Moderate,Diabetes,16.6,712.2,30.6,12.2,57.2,203.5,3,67.8,0.62
0514d3a4-e82a-4aaf-860e-3dd750a53e47,Dog,British Shorthair,10.4,26.5,Male,Low,Obesity,29.1,833.9,26.2,23.1,50.7,238.3,2,119.2,0.67
f14daca5-3bb3-4157-a287-d5a2c29b09ed,Dog,Poodle,7.7,25.6,Male,Low,Allergies,27.5,956.0,34.6,16.9,48.5,273.1,2,136.6,0.7
888d3700-e71c-4eaf-8ac8-5031ff533ed3,Dog,Maine Coon,13.6,13.6,Male,Low,Allergies,14.3,594.9,39.2,24.8,36.0,170.0,2,85.0,0.48
bbde8194-34c9-4b59-a326-ed78cf944a4f,Cat,Siamese Cat,10.5,7.2,Female,Moderate,Obesity,7.0,366.1,40.0,22.8,37.2,104.6,3,34.9,0.36
c7373515-2457-4087-bed3-81368969dfeb,Cat,Siamese Cat,8.8,7.1,Female,High,Diabetes,6.8,438.4,25.3,22.5,52.2,125.3,4,31.3,0.54
22ab8117-0da7-482c-b012-c0fd3ab65fcd,Dog,Golden Retriever,8.7,30.2,Male,High,Allergies,32.4,1442.9,37.5,23.5,39.0,412.3,4,103.1,0.77
e518edb1-08c0-421c-ba8e-fa8f4e3cc0db,Dog,Poodle,9.3,30.1,Female,Low,Obesity,32.6,917.5,34.3,20.2,45.5,262.1,2,131.1,0.73
cbad2981-5f00-453e-8970-902995609950,Dog,German Shepherd,9.6,30.2,Male,Moderate,Allergies,32.0,1262.5,25.5,15.5,59.0,360.7,3,120.2,0.38
5807a53c-0349-4a51-82e4-b26e3f9ed547,Dog,Beagle,5.2,63.5,Female,Low,Obesity,65.4,1606.1,27.0,18.1,54.9,458.9,2,229.4,0.88
5dde33e2-bf85-40f8-b2fc-bb1254d1f219,Dog,Ragdoll,7.8,34.5,Female,Low,Diabetes,37.2,1076.2,38.7,24.2,37.1,307.5,2,153.8,0.88
162e6f0a-f26b-44ac-825a-55d73ddf2626,Dog,Beagle,11.3,31.5,Female,Low,Allergies,30.5,1116.9,39.4,12.1,48.5,319.1,2,159.6,0.88
be07c25f-1eb7-47fb-952c-9bc82275e173,Cat,Siamese Cat,14.5,3.5,Female,Low,Allergies,3.6,214.9,25.2,18.0,56.8,61.4,2,30.7,0.57
56b942db-dc52-4212-8c75-33318fd2bc47,Dog,Beagle,9.0,22.6,Female,Low,Obesity,20.5,740.1,32.1,19.3,48.6,211.5,2,105.8,0.87
49a734ee-64d2-4c09-aa24-8101f251656b,Cat,Persian Cat,13.8,9.6,Male,High,None,9.2,610.8,34.5,17.0,48.5,174.5,4,43.6,0.72
c254b26d-b702-4732-8fed-1c6561d0c50e,Cat,Siamese Cat,2.2,1.3,Male,Low,Diabetes,1.3,92.0,39.9,11.7,48.4,26.3,2,13.2,0.44
d1a28c3e-0088-4412-9de7-7e499992aa92,Dog,Ragdoll,2.5,20.3,Female,Moderate,Joint Issues,18.8,937.2,31.3,21.1,47.6,267.8,3,89.3,0.39
ca2b3644-2679-4d8d-bc87-4a3962c61d3a,Cat,Siamese Cat,10.0,7.2,Female,High,Allergies,7.2,492.3,39.1,14.2,46.7,140.7,4,35.2,0.71
275a3b25-2452-46a9-9ca0-928a908e7e2e,Dog,Poodle,6.9,17.8,Male,Moderate,None,18.2,849.3,39.7,15.5,44.8,242.7,3,80.9,0.84
20a35c7f-9fc8-461c-8044-6e76b2ac5dc8,Cat,Persian Cat,1.4,6.4,Female,Low,None,5.9,338.0,39.2,22.4,38.4,96.6,2,48.3,0.36
6a59f091-86da-42d9-9206-cf96fc76bc1b,Dog,Poodle,9.8,25.5,Male,Low,Diabetes,25.7,857.9,28.7,11.9,59.4,245.1,2,122.5,0.64
559c5aa6-16c2-4f8e-9266-4c0f979e981e,Dog,Bulldog,12.5,18.5,Male,High,Obesity,19.0,849.2,37.2,13.5,49.3,242.6,4,60.6,0.76
b8a3e447-cd26-4f02-b851-99e210f0c896,Dog,British Shorthair,0.5,4.7,Male,Low,Joint Issues,5.0,268.1,28.8,12.6,58.6,76.6,2,38.3,0.7
22ade00c-86d6-481d-a6f1-d88f5d2db72b,Dog,Golden Retriever,2.4,26.9,Female,Low,Joint Issues,25.7,992.2,29.9,12.6,57.5,283.5,2,141.8,0.33
12b8bed4-d38a-4376-b94c-618d71d93778,Cat,Siamese Cat,8.1,3.4,Male,Moderate,Allergies,3.1,245.4,36.7,17.7,45.6,70.1,3,23.4,0.37
0651f825-4756-4e30-bbba-d5b1a4cb94c0,Dog,Ragdoll,3.7,23.9,Male,High,Joint Issues,26.1,1210.6,29.5,19.7,50.8,345.9,4,86.5,0.32
efdb1dd9-8401-45e4-a028-9a98bed3e9a6,Dog,Maine Coon,12.8,30.0,Female,High,None,29.5,1435.7,32.4,23.6,44.0,410.2,4,102.5,0.34
6e2f562f-8f4e-40e0-95ed-059b7e2f0834,Dog,Bulldog,5.2,33.7,Male,Low,Obesity,31.5,998.7,29.1,19.5,51.4,285.3,2,142.7,0.63
8144c50d-caa1-4dc4-a22a-cd2e08d6a994,Cat,Persian Cat,6.0,4.1,Female,Moderate,Joint Issues,4.1,282.4,34.1,11.5,54.4,80.7,3,26.9,0.72
d3b55e08-d346-4408-88e5-1710f86bf61b,Dog,Ragdoll,11.0,18.5,Male,Moderate,Allergies,19.3,874.2,38.3,16.2,45.5,249.8,3,83.3,0.8
